@relation tweets

@attribute terms numeric
@attribute topics numeric
@attribute tags numeric
@attribute links numeric
@attribute sentiment numeric

@attribute class {positive, negative}

@data
7,0,0,0,1,negative
6,0,0,0,-2,negative
3,0,0,0,-1,negative
9,0,0,0,0,negative
6,0,1,0,1,negative
10,0,0,0,1,negative
5,0,0,0,1,negative
4,0,0,0,-1,negative
15,1,0,0,0,negative
1,0,0,0,-1,negative
2,0,1,0,0,negative
8,0,0,0,1,negative
7,0,0,0,1,negative
11,0,0,0,-2,negative
14,0,1,0,0,negative
7,0,0,0,0,negative
5,0,0,0,0,negative
11,0,1,0,0,negative
7,0,0,0,2,negative
4,0,0,0,0,negative
3,0,0,0,0,negative
3,0,0,0,-1,negative
11,0,0,0,-1,negative
14,0,0,0,-2,negative
10,0,0,0,-1,negative
7,0,0,0,2,negative
6,0,0,0,0,negative
3,0,0,0,1,negative
7,0,0,0,0,negative
11,0,0,0,-1,negative
21,0,1,0,0,negative
7,0,0,0,-1,negative
6,0,1,0,-1,negative
7,0,1,0,-1,negative
11,0,0,0,0,negative
2,0,0,0,0,negative
8,0,0,0,0,negative
4,0,0,0,1,negative
5,0,1,0,0,negative
5,0,0,0,0,negative
9,0,0,0,1,negative
5,0,1,0,0,negative
13,0,0,0,0,negative
14,0,1,0,1,negative
7,0,0,0,2,negative
11,0,1,0,0,negative
15,0,0,0,2,negative
6,0,0,0,2,negative
3,0,0,0,0,negative
8,0,0,0,1,negative
6,0,0,0,-1,negative
14,0,0,0,-1,negative
13,0,0,0,0,negative
2,0,0,0,0,negative
10,0,1,0,-2,negative
11,0,0,0,-1,negative
15,0,0,0,0,negative
1,0,0,0,-1,negative
10,0,0,0,-1,negative
7,0,0,0,1,negative
11,0,1,0,0,negative
12,0,1,0,-2,negative
9,0,0,0,-2,negative
9,0,0,0,0,negative
6,0,0,0,-2,negative
11,0,0,0,-1,negative
6,1,0,0,0,negative
13,0,1,0,0,negative
6,0,1,0,-1,negative
4,0,1,0,0,negative
6,0,0,0,0,negative
3,0,0,0,0,negative
5,0,0,0,-2,negative
2,0,1,0,0,negative
5,0,0,0,1,negative
6,0,1,0,-1,negative
6,1,0,1,0,negative
9,0,1,0,0,negative
3,0,0,0,1,negative
1,0,0,0,0,negative
7,0,0,0,-2,negative
10,0,1,0,0,negative
16,0,0,0,0,negative
8,0,0,0,0,negative
14,0,0,0,0,negative
6,0,0,0,0,negative
7,0,0,0,-1,negative
4,0,1,0,0,negative
15,0,1,0,0,negative
6,0,0,0,0,negative
3,0,0,0,0,negative
8,0,0,0,1,negative
14,0,0,0,-1,negative
17,0,0,0,2,negative
7,0,0,0,0,negative
7,0,0,0,-1,negative
3,0,0,0,0,negative
5,0,0,0,-1,negative
7,0,1,0,1,negative
7,0,0,0,1,negative
6,0,0,0,0,negative
11,0,0,0,-1,negative
12,0,0,0,0,negative
6,0,1,0,0,negative
10,0,0,0,1,negative
5,0,0,0,-2,negative
4,1,0,0,0,negative
12,0,0,0,-1,negative
15,0,0,0,-4,negative
4,0,0,0,0,negative
8,0,0,0,1,negative
6,0,1,1,1,negative
14,0,1,0,0,negative
7,0,0,0,0,negative
5,0,1,0,0,negative
17,0,1,0,-3,negative
12,0,0,0,-2,negative
7,0,0,0,-1,negative
11,0,0,0,1,negative
12,0,1,0,0,negative
5,0,0,0,-1,negative
7,0,0,0,0,negative
9,0,1,0,-1,negative
2,0,1,0,0,negative
1,0,1,0,0,negative
9,0,0,0,1,negative
11,0,0,0,-1,negative
8,0,1,0,-1,negative
9,0,0,0,-2,negative
13,0,0,1,1,negative
11,0,1,0,1,negative
8,0,0,0,0,negative
12,0,1,0,-1,negative
4,0,1,0,0,negative
6,0,0,0,1,negative
7,0,0,0,-1,negative
11,0,0,0,-2,negative
19,0,0,0,-1,negative
3,0,0,0,0,negative
2,0,1,0,0,negative
2,0,0,0,-1,negative
16,0,1,0,1,negative
15,0,1,0,1,negative
1,0,0,0,0,negative
13,0,0,0,-1,negative
4,0,1,0,0,negative
6,0,1,0,0,negative
3,0,0,0,0,negative
14,0,1,0,0,negative
10,0,0,0,0,negative
3,0,0,0,-1,negative
6,0,0,0,0,negative
6,0,0,0,-1,negative
14,0,0,0,-1,negative
12,0,0,0,0,negative
3,0,1,0,0,negative
5,0,1,0,-1,negative
6,0,0,0,1,negative
13,0,1,0,1,negative
9,0,1,0,-2,negative
14,0,1,0,0,negative
12,0,0,0,1,negative
10,0,0,0,0,negative
5,0,1,0,0,negative
11,0,1,0,2,negative
10,0,1,0,0,negative
4,0,0,0,0,negative
3,0,0,0,-1,negative
7,0,0,0,1,negative
7,0,0,0,-1,negative
12,0,1,0,1,negative
8,0,0,0,0,negative
16,0,1,0,-1,negative
6,0,1,0,1,negative
2,0,0,0,0,negative
10,0,0,0,0,negative
13,0,1,0,-2,negative
5,0,0,0,1,negative
13,0,0,0,0,negative
12,0,0,0,-2,negative
17,0,1,0,-1,negative
8,0,0,0,-1,negative
4,0,0,0,2,negative
7,0,0,0,0,negative
9,0,0,0,0,negative
5,0,1,0,-1,negative
12,0,0,0,-1,negative
9,0,2,0,0,negative
3,0,0,0,-1,negative
10,0,0,0,1,negative
4,0,0,0,0,negative
8,0,1,0,0,negative
11,0,1,0,-2,negative
10,0,0,0,-1,negative
16,0,0,0,1,negative
7,0,1,0,-1,negative
6,0,0,0,1,negative
13,0,0,0,-1,negative
4,0,1,0,-1,negative
12,0,1,0,-1,negative
9,0,0,0,1,negative
4,0,0,0,0,negative
8,0,0,0,0,negative
14,0,0,0,-2,negative
9,0,0,0,1,negative
12,0,0,0,0,negative
12,0,1,0,0,negative
9,0,0,0,-1,negative
4,0,1,0,-1,negative
6,0,0,1,0,negative
11,0,0,0,-3,negative
10,0,1,0,-2,negative
9,0,0,0,-4,negative
7,0,0,0,0,negative
9,0,0,0,0,negative
12,0,1,0,0,negative
8,0,0,0,0,negative
4,0,0,0,0,negative
14,0,1,0,0,negative
6,0,1,0,0,negative
9,0,0,0,0,negative
5,0,0,0,-1,negative
6,0,0,1,-1,negative
4,0,1,0,1,negative
8,0,1,0,0,negative
12,0,1,0,1,negative
16,0,1,0,1,negative
4,0,0,0,0,negative
8,0,1,0,0,negative
12,0,0,0,-1,negative
4,0,0,0,0,negative
3,0,0,0,-1,negative
2,0,0,0,0,negative
12,0,1,0,0,negative
4,0,0,0,0,negative
13,0,1,0,0,negative
11,0,1,0,0,negative
9,0,0,0,-2,negative
2,0,0,0,-1,negative
1,0,1,0,0,negative
3,0,1,0,1,negative
12,0,1,0,0,negative
5,0,0,0,-1,negative
4,0,0,0,-2,negative
6,0,0,0,-2,negative
16,0,0,0,-2,negative
6,0,0,0,-2,negative
4,0,0,0,0,negative
6,0,0,0,0,negative
12,0,0,0,-2,negative
3,0,0,0,-1,negative
5,0,0,0,0,negative
3,0,0,0,0,negative
6,0,0,0,-1,negative
2,0,0,0,0,negative
7,0,0,0,1,negative
4,0,1,0,0,negative
9,0,0,1,-2,negative
5,0,0,0,-1,negative
2,0,1,0,-1,negative
5,0,0,1,0,negative
5,0,1,0,0,negative
4,0,1,0,1,negative
9,0,0,0,0,negative
10,0,1,0,0,negative
7,0,0,0,1,negative
5,0,0,0,1,negative
4,0,0,0,0,negative
11,0,1,0,2,negative
6,0,0,0,0,negative
6,0,1,0,0,negative
7,0,2,0,0,negative
9,0,0,0,1,negative
7,0,0,0,1,negative
12,0,1,0,0,negative
4,0,0,1,0,negative
6,0,0,0,0,negative
7,0,1,0,0,negative
3,0,0,0,0,negative
12,0,0,0,1,negative
6,0,0,0,1,negative
7,0,1,0,-1,negative
1,0,0,0,0,negative
6,0,1,0,1,negative
7,0,0,0,1,negative
8,0,1,0,1,negative
8,0,1,0,-1,negative
5,0,0,0,0,negative
11,0,0,1,-1,negative
8,0,0,0,0,negative
8,0,1,0,0,negative
5,0,0,0,1,negative
16,0,0,0,2,negative
20,0,2,0,-1,negative
8,0,0,0,0,negative
13,0,1,0,0,negative
4,0,0,0,0,negative
3,0,0,0,0,negative
17,0,0,0,1,negative
7,0,1,0,1,negative
7,0,0,0,0,negative
12,0,1,0,-1,negative
12,0,0,0,-1,negative
5,0,0,0,0,negative
15,0,0,0,-1,negative
4,2,1,0,-3,negative
6,0,1,0,0,negative
11,0,1,0,-1,negative
2,0,0,0,-1,negative
9,0,1,0,1,negative
11,0,1,0,0,negative
4,0,0,0,-1,negative
5,0,0,0,1,negative
7,0,1,0,1,negative
8,0,0,0,0,negative
3,0,1,0,-2,negative
15,0,0,0,1,negative
3,0,0,0,-2,negative
9,0,0,0,0,negative
10,0,0,0,0,negative
6,0,0,0,0,negative
9,0,0,1,3,negative
14,1,0,1,0,negative
11,0,1,0,-1,negative
4,0,0,0,1,negative
3,0,1,0,0,negative
12,0,0,0,1,negative
16,0,1,0,-2,negative
7,0,1,0,1,negative
12,0,1,0,0,negative
17,0,1,0,5,negative
7,0,0,0,1,negative
3,0,0,0,0,negative
8,0,0,0,2,negative
3,0,0,0,0,negative
11,0,0,0,-1,negative
5,0,1,0,2,negative
6,0,1,0,1,negative
7,0,0,0,0,negative
14,0,0,0,-1,negative
9,0,1,0,0,negative
11,0,1,0,0,negative
4,0,0,0,-2,negative
12,0,0,0,0,negative
16,0,1,0,-1,negative
6,0,0,0,-1,negative
10,0,0,0,-2,negative
4,0,0,0,-1,negative
8,0,0,0,1,negative
3,0,0,0,0,negative
11,0,0,0,-1,negative
8,0,0,0,-1,negative
10,0,1,0,-1,negative
6,0,0,0,1,negative
8,0,1,0,2,negative
6,0,1,0,2,negative
8,0,1,0,1,negative
8,0,1,0,-1,negative
3,0,0,0,0,negative
11,0,0,0,-1,negative
7,0,0,0,0,negative
4,0,0,0,-1,negative
16,0,0,0,0,negative
11,0,1,0,0,negative
4,0,0,0,0,negative
2,0,0,0,0,negative
12,0,0,0,-1,negative
10,0,0,0,0,negative
11,0,0,0,-2,negative
4,0,0,0,-1,negative
8,0,1,0,-1,negative
8,0,0,1,0,negative
10,0,0,0,-1,negative
7,0,0,0,-1,negative
5,0,0,0,0,negative
7,0,0,0,0,negative
5,0,1,0,0,negative
8,0,1,0,0,negative
14,0,1,0,1,negative
11,0,1,0,1,negative
5,0,1,0,0,negative
12,0,0,0,-1,negative
6,0,0,0,0,negative
12,0,0,0,-2,negative
12,0,0,0,0,negative
12,0,1,0,0,negative
6,0,1,0,0,negative
16,0,0,0,2,negative
4,0,1,0,-1,negative
4,0,1,0,-1,negative
7,0,1,0,0,negative
3,0,1,0,0,negative
3,0,0,0,-1,negative
6,0,1,0,0,negative
9,0,1,0,2,negative
14,0,1,0,1,negative
5,0,1,0,0,negative
7,0,1,0,1,negative
9,1,0,0,1,negative
10,0,2,0,-1,negative
7,0,0,0,-1,negative
9,0,0,0,1,negative
6,0,0,0,0,negative
15,0,0,0,-3,negative
6,0,1,0,0,negative
4,0,1,0,-1,negative
9,0,1,0,1,negative
8,0,1,0,1,negative
14,0,0,0,0,negative
10,0,1,0,-1,negative
14,0,1,0,2,negative
3,0,0,0,0,negative
5,0,0,0,1,negative
5,1,0,1,0,negative
12,0,1,0,1,negative
9,0,1,0,-1,negative
7,0,0,0,-1,negative
11,0,0,0,-1,negative
11,0,0,0,-1,negative
4,0,0,0,-1,negative
2,0,0,0,-1,negative
13,0,1,0,2,negative
14,0,0,1,0,negative
12,0,0,0,0,negative
11,0,1,0,1,negative
2,0,0,0,0,negative
4,0,0,0,0,negative
4,0,0,0,-1,negative
3,0,0,0,0,negative
7,0,0,0,0,negative
12,0,0,0,0,negative
13,2,0,1,-1,negative
11,0,0,0,-1,negative
5,0,0,0,0,negative
8,0,0,0,0,negative
9,0,1,0,-1,negative
12,0,0,0,0,negative
10,0,1,0,2,negative
6,0,1,0,0,negative
5,0,1,0,0,negative
9,0,0,0,-1,negative
17,0,0,0,1,negative
15,0,0,0,1,negative
9,0,1,0,0,negative
3,0,1,0,0,negative
6,0,0,0,1,negative
9,0,0,0,0,negative
8,0,0,0,1,negative
6,0,0,0,-1,negative
5,0,0,0,0,negative
10,0,1,0,0,negative
3,0,0,0,-1,negative
2,0,0,0,-1,negative
12,0,1,0,0,negative
2,0,0,0,0,negative
4,0,0,0,0,negative
7,0,1,0,-1,negative
11,0,0,0,0,negative
15,0,1,0,1,negative
4,0,0,0,0,negative
12,0,0,0,1,negative
5,0,0,0,0,negative
5,0,1,0,-1,negative
8,0,1,0,1,negative
6,0,0,0,1,negative
6,0,0,0,1,negative
4,0,0,0,-1,negative
9,0,1,0,-1,negative
10,0,0,0,0,negative
2,0,0,0,0,negative
12,0,1,0,-3,negative
5,0,0,0,1,negative
4,0,0,0,-1,negative
2,0,0,0,0,negative
7,0,1,0,0,negative
9,0,1,0,-1,negative
3,0,0,0,-2,negative
5,0,0,0,-1,negative
12,0,0,0,1,negative
13,0,1,0,1,negative
3,0,0,0,-1,negative
7,0,0,0,-2,negative
10,0,1,0,-2,negative
10,0,0,0,-1,negative
3,0,0,0,-1,negative
3,0,0,0,0,negative
9,0,0,0,-2,negative
6,0,0,0,0,negative
13,0,1,0,-2,negative
7,0,0,0,0,negative
11,0,0,0,-3,negative
9,0,1,0,0,negative
2,0,0,0,-1,negative
11,0,1,0,0,negative
9,0,0,0,0,negative
11,0,1,0,1,negative
8,0,1,0,-2,negative
5,0,0,0,-1,negative
7,0,1,0,-2,negative
13,0,0,0,-3,negative
7,0,1,0,0,negative
9,0,1,0,-1,negative
16,0,1,0,-1,negative
7,0,0,0,0,negative
11,0,1,0,-2,negative
8,0,1,0,-3,negative
6,0,0,0,0,negative
3,0,0,0,-1,negative
5,0,0,0,0,negative
7,0,0,0,0,negative
2,0,0,0,1,negative
10,0,0,0,-1,negative
2,0,0,0,0,negative
6,0,1,0,0,negative
3,0,1,0,1,negative
3,0,0,0,0,negative
7,0,0,0,-1,negative
11,0,0,0,1,negative
11,0,0,0,1,negative
14,0,0,0,-1,negative
4,0,0,0,-1,negative
4,0,0,0,0,negative
7,0,0,0,1,negative
10,0,0,0,1,negative
3,0,1,0,0,negative
7,0,0,0,0,negative
7,0,0,0,1,negative
9,0,0,0,-1,negative
10,0,0,0,-1,negative
4,0,0,0,0,negative
2,0,0,0,0,negative
11,0,1,0,2,negative
14,0,0,0,-1,negative
11,0,0,0,0,negative
5,0,1,0,0,negative
16,0,0,0,0,negative
15,0,1,0,0,negative
12,0,1,0,2,negative
4,0,0,0,-1,negative
17,0,1,0,0,negative
10,1,0,0,-1,negative
8,0,0,0,0,negative
9,0,1,0,0,negative
5,0,0,0,-1,negative
8,0,0,0,1,negative
2,0,0,0,0,negative
15,0,1,0,0,negative
10,0,1,0,1,negative
1,0,1,0,0,negative
13,0,1,0,-1,negative
7,0,0,0,-1,negative
10,0,0,1,1,negative
17,0,0,0,0,negative
2,0,0,0,0,negative
8,0,0,1,-1,negative
7,0,0,0,-2,negative
12,0,1,0,1,negative
6,0,0,0,-1,negative
8,0,0,0,2,negative
13,0,1,0,0,negative
10,0,0,0,-2,negative
13,0,1,0,2,negative
4,0,0,0,0,negative
2,0,0,0,-1,negative
13,0,0,0,0,negative
5,0,1,0,0,negative
2,0,0,0,0,negative
18,0,1,0,0,negative
10,0,1,0,1,negative
2,0,0,0,-1,negative
3,0,0,0,2,negative
12,0,0,0,0,negative
15,0,0,0,0,negative
11,0,0,0,-1,negative
7,0,1,0,3,negative
12,0,0,0,-2,negative
4,0,0,0,0,negative
7,0,0,0,3,negative
10,0,0,0,0,negative
19,0,1,0,0,negative
9,0,0,0,2,negative
10,0,0,0,-3,negative
12,0,0,0,1,negative
11,0,0,0,1,negative
12,0,0,0,-1,negative
12,0,1,0,1,negative
8,0,0,0,-1,negative
11,0,0,0,-1,negative
6,1,0,0,-1,negative
5,0,0,0,-1,negative
15,0,1,0,-1,negative
4,0,0,0,0,negative
8,0,1,0,0,negative
14,0,0,0,-1,negative
7,0,0,0,0,negative
12,0,0,0,0,negative
7,0,0,0,-1,negative
5,0,1,0,1,negative
15,0,0,0,-1,negative
8,0,0,0,0,negative
12,0,0,0,1,negative
8,0,0,0,0,negative
9,0,1,0,1,negative
12,0,0,0,0,negative
4,0,1,0,1,negative
2,0,0,0,0,negative
2,0,0,0,-1,negative
3,0,0,0,0,negative
3,0,0,0,-1,negative
3,0,0,0,0,negative
6,0,0,0,-1,negative
4,0,0,0,0,negative
11,0,1,0,1,negative
9,0,1,0,0,negative
12,0,1,0,-2,negative
8,0,0,0,-1,negative
4,0,1,0,-1,negative
6,0,0,0,0,negative
3,0,0,0,-1,negative
12,0,1,0,1,negative
14,0,0,0,-2,negative
7,0,1,0,-1,negative
10,0,0,0,-1,negative
2,0,1,0,0,negative
13,0,0,0,1,negative
11,0,1,0,1,negative
5,0,0,0,-1,negative
5,0,1,0,0,negative
5,0,0,0,0,negative
7,0,0,0,0,negative
6,0,0,0,-3,negative
12,0,1,0,0,negative
8,0,0,0,0,negative
2,0,1,0,-1,negative
15,1,0,0,-2,negative
4,0,0,0,0,negative
2,0,0,0,1,negative
4,0,0,0,1,negative
8,0,0,0,0,negative
2,0,1,0,-1,negative
7,0,0,0,-1,negative
4,0,1,0,1,negative
9,0,0,0,-1,negative
17,0,0,0,-3,negative
4,0,0,0,0,negative
13,0,1,0,-1,negative
8,0,0,0,-1,negative
1,0,0,0,0,negative
11,0,1,0,0,negative
7,0,0,1,1,negative
15,0,1,0,2,negative
3,0,0,0,0,negative
10,0,0,0,0,negative
5,0,0,0,-1,negative
5,0,0,0,0,negative
14,0,1,0,1,negative
5,0,0,0,0,negative
15,0,1,0,0,negative
7,0,1,0,1,negative
2,0,1,0,0,negative
8,0,0,0,0,negative
4,0,1,0,0,negative
6,0,0,0,0,negative
12,0,0,0,0,negative
2,0,0,0,-1,negative
8,0,1,0,0,negative
10,1,0,0,0,negative
4,0,0,0,1,negative
8,0,0,0,0,negative
8,0,0,0,0,negative
12,0,1,0,1,negative
4,0,0,0,-1,negative
3,0,0,0,-1,negative
2,0,0,0,0,negative
12,0,0,0,-2,negative
2,0,0,0,0,negative
9,0,1,1,-1,negative
3,0,0,0,0,negative
16,0,0,0,-1,negative
10,0,2,0,0,negative
11,0,1,0,0,negative
19,0,0,0,0,negative
10,0,0,0,0,negative
15,0,1,0,0,negative
7,0,0,0,0,negative
13,0,0,0,2,negative
16,0,1,0,0,negative
4,0,0,0,-1,negative
10,0,1,0,0,negative
9,0,1,0,4,negative
1,0,1,0,0,negative
4,0,1,0,-1,negative
4,0,0,0,-1,negative
9,0,0,0,0,negative
5,0,0,0,2,negative
6,0,0,0,-1,negative
6,0,0,0,0,negative
6,0,0,0,0,negative
2,0,0,0,1,negative
7,0,0,0,-1,negative
10,0,0,0,0,negative
5,0,0,0,-1,negative
10,1,0,0,-1,negative
2,0,0,0,1,negative
5,0,0,0,-1,negative
10,0,0,0,-1,negative
15,0,1,0,1,negative
7,0,1,0,0,negative
3,0,0,0,-1,negative
6,0,1,0,0,negative
15,0,0,0,-1,negative
3,0,1,0,0,negative
1,0,0,0,0,negative
5,0,1,0,0,negative
8,0,1,0,0,negative
4,0,1,0,1,negative
10,0,1,0,-2,negative
6,0,0,1,0,negative
9,0,0,0,0,negative
2,0,0,0,-1,negative
3,0,0,0,-2,negative
2,0,0,0,0,negative
10,0,1,0,-4,negative
4,0,0,0,0,negative
14,0,0,0,1,negative
12,0,0,0,1,negative
4,0,2,0,0,negative
5,0,0,0,0,negative
5,0,1,0,0,negative
12,0,1,0,-1,negative
6,0,0,0,0,negative
13,0,0,0,-2,negative
5,0,0,0,-2,negative
6,0,0,0,0,negative
7,0,1,0,1,negative
11,0,1,0,-1,negative
7,0,1,0,0,negative
12,0,1,0,1,negative
8,0,1,0,-1,negative
9,0,0,0,-1,negative
8,0,1,0,0,negative
15,0,0,0,1,negative
11,0,0,1,1,negative
10,0,0,0,0,negative
6,0,1,0,1,negative
8,0,1,0,0,negative
9,0,0,0,1,negative
13,0,1,0,-2,negative
5,0,0,0,0,negative
8,0,0,0,-1,negative
3,0,0,0,0,negative
8,0,0,0,-2,negative
9,0,1,0,-1,negative
3,0,0,0,1,negative
10,0,1,0,-3,negative
8,0,1,0,0,negative
5,1,1,0,0,negative
5,0,0,0,0,negative
7,0,0,0,-1,negative
6,0,0,0,0,negative
14,0,0,0,-3,negative
7,0,0,0,0,negative
9,0,0,0,0,negative
10,0,1,0,1,negative
7,0,1,0,-2,negative
4,0,0,0,0,negative
5,0,0,0,0,negative
7,0,1,0,0,negative
9,0,1,0,0,negative
5,0,1,0,-1,negative
8,0,0,0,1,negative
15,0,0,0,1,negative
8,0,0,0,-1,negative
6,0,1,1,1,negative
6,0,0,0,1,negative
12,0,0,0,0,negative
7,0,0,0,1,negative
2,0,0,0,-1,negative
11,0,1,0,0,negative
7,0,0,0,2,negative
14,0,0,0,-1,negative
10,0,1,0,0,negative
11,0,1,0,1,negative
5,0,0,0,-1,negative
2,0,0,0,-1,negative
2,0,0,0,1,negative
3,0,0,0,0,negative
6,0,0,0,0,negative
7,0,1,0,-1,negative
9,0,0,0,3,negative
12,0,0,1,1,negative
12,0,0,0,1,negative
9,0,0,0,0,negative
2,0,0,0,-1,negative
12,0,0,1,0,negative
13,0,0,0,0,negative
10,0,0,0,0,negative
12,0,0,0,0,negative
6,0,0,0,0,negative
3,0,0,0,0,negative
12,0,1,0,1,negative
11,0,0,0,-1,negative
6,0,0,0,1,negative
9,0,0,0,-2,negative
4,0,0,0,0,negative
14,0,1,0,1,negative
11,0,0,0,0,negative
3,0,0,0,-1,negative
9,0,0,0,-1,negative
8,0,1,0,1,negative
4,0,2,0,-1,negative
8,0,1,0,1,negative
12,0,0,0,0,negative
8,0,0,0,-1,negative
12,0,1,0,0,negative
13,0,1,0,1,negative
6,0,0,0,1,negative
16,0,1,0,-1,negative
8,0,1,0,1,negative
15,0,1,0,-1,negative
10,0,0,0,-1,negative
14,0,0,0,-2,negative
3,0,0,0,1,negative
12,0,2,0,0,negative
12,0,1,0,-1,negative
8,0,0,1,1,negative
4,0,0,0,-1,negative
9,0,1,0,4,negative
11,0,1,0,2,negative
14,0,0,0,0,negative
4,0,0,0,0,negative
11,0,0,0,-1,negative
11,0,0,0,-1,negative
6,0,1,0,-1,negative
5,0,1,0,-1,negative
8,0,0,0,2,negative
4,0,0,0,0,negative
14,0,1,0,-1,negative
12,0,0,0,0,negative
3,0,0,0,-1,negative
5,0,0,0,1,negative
17,0,0,0,0,negative
5,0,0,0,0,negative
11,0,0,0,-2,negative
12,0,1,0,0,negative
16,0,1,0,-4,negative
7,0,1,0,-1,negative
4,0,1,0,0,negative
12,2,0,0,1,negative
8,1,0,0,-1,negative
10,0,1,0,-1,negative
3,0,0,0,1,negative
14,0,1,0,2,negative
3,0,0,0,-1,negative
9,0,1,0,0,negative
9,0,0,0,1,negative
10,0,0,0,1,negative
9,0,1,0,-2,negative
15,0,1,0,0,negative
1,0,0,0,0,negative
5,0,0,0,0,negative
10,0,0,0,-1,negative
16,0,1,0,0,negative
6,0,0,0,-2,negative
4,0,0,0,-1,negative
7,0,0,0,0,negative
15,0,1,0,1,negative
7,0,0,0,1,negative
5,0,1,0,1,negative
6,0,0,0,0,negative
4,0,1,0,0,negative
6,0,0,0,1,negative
2,0,1,0,-1,negative
9,0,1,0,1,negative
7,0,1,0,0,negative
12,0,1,0,0,negative
8,0,1,0,0,negative
8,0,1,0,1,negative
6,0,0,0,0,negative
6,0,1,0,0,negative
13,0,1,0,-2,negative
15,0,0,0,0,negative
13,0,1,0,-2,negative
3,0,0,0,0,negative
4,0,2,0,-1,negative
7,0,0,0,0,negative
4,0,1,0,-2,negative
8,0,1,0,-1,negative
9,0,1,0,-1,negative
4,0,1,0,1,negative
4,0,0,0,-1,negative
14,0,1,0,0,negative
2,0,0,0,0,negative
7,0,0,0,0,negative
6,0,0,0,0,negative
10,0,1,0,1,negative
5,0,0,0,-1,negative
1,0,0,0,0,negative
5,0,1,0,-1,negative
16,0,0,0,0,negative
14,0,1,0,0,negative
5,0,1,0,0,negative
7,0,0,0,0,negative
16,0,0,0,0,negative
12,0,1,0,0,negative
5,0,0,0,0,negative
13,0,0,0,0,negative
3,0,0,0,0,negative
13,0,1,0,1,negative
6,0,1,0,1,negative
5,0,0,0,-1,negative
2,0,0,0,-1,negative
8,0,0,0,2,negative
8,0,0,0,1,negative
3,0,1,0,-2,negative
14,0,0,0,0,negative
17,0,0,0,-3,negative
14,0,0,0,0,negative
15,0,0,0,0,negative
9,0,0,0,-1,negative
15,0,1,0,-3,negative
13,0,0,0,-1,negative
6,0,0,0,0,negative
17,0,1,0,0,negative
9,0,0,0,0,negative
10,0,0,0,0,negative
7,0,1,0,-1,negative
15,0,0,0,0,negative
4,0,0,0,-1,negative
12,0,1,0,-1,negative
6,0,0,0,-1,negative
14,0,0,0,-2,negative
7,0,1,0,0,negative
4,0,1,0,-1,negative
7,0,0,0,0,negative
5,0,0,0,-1,negative
9,0,1,0,0,negative
8,0,0,1,1,negative
11,0,1,0,1,negative
3,0,0,0,1,negative
15,0,0,0,0,negative
2,0,0,0,1,negative
7,0,0,0,0,negative
7,0,0,0,-1,negative
12,0,1,0,0,negative
14,0,0,0,0,negative
7,0,0,0,-2,negative
15,0,0,0,-1,negative
7,0,0,0,0,negative
4,0,1,0,-1,negative
11,0,1,0,0,negative
7,0,1,0,-1,negative
8,0,0,0,0,negative
13,0,1,0,2,negative
7,0,0,1,1,negative
4,0,0,0,2,negative
8,0,0,0,0,negative
7,0,1,0,0,negative
14,0,0,0,0,negative
8,0,1,0,-2,negative
6,0,0,0,0,negative
2,0,0,0,-1,negative
10,0,1,0,-3,negative
16,0,0,0,2,negative
7,0,0,0,-1,negative
6,0,1,0,0,negative
8,0,0,0,1,negative
3,0,0,0,0,negative
24,0,0,1,0,negative
3,0,0,0,0,negative
3,0,0,0,-1,negative
5,0,1,0,-3,negative
11,0,0,1,1,negative
2,0,0,0,0,negative
17,0,0,0,0,negative
15,1,0,0,-1,negative
7,0,0,0,0,negative
4,0,1,0,1,negative
5,0,1,0,0,negative
10,0,0,0,2,negative
5,0,1,0,-1,negative
5,0,0,0,0,negative
5,0,0,0,-1,negative
8,0,1,0,-1,negative
4,0,0,0,0,negative
6,0,1,0,0,negative
10,0,1,0,0,negative
9,0,0,0,1,negative
5,0,0,0,0,negative
18,0,0,0,-1,negative
8,0,0,0,-1,negative
3,0,0,0,0,negative
6,0,0,0,-1,negative
6,0,0,0,1,negative
9,0,0,0,2,negative
12,0,0,0,-1,negative
4,0,0,0,0,negative
14,0,0,0,-3,negative
3,0,1,0,0,negative
3,0,0,0,0,negative
17,0,0,0,-2,negative
2,0,0,0,0,negative
4,0,0,0,1,negative
9,0,0,0,2,negative
10,0,1,0,0,negative
7,0,0,0,-1,negative
12,0,0,0,0,negative
12,0,0,0,0,negative
14,0,1,0,0,negative
10,0,1,0,4,negative
9,0,0,0,2,negative
14,0,1,0,-3,negative
11,0,1,0,2,negative
6,0,0,0,0,negative
11,0,1,0,-1,negative
11,0,0,0,0,negative
5,0,0,0,0,negative
1,0,0,0,0,negative
4,0,1,0,0,negative
14,0,1,0,1,negative
13,0,0,0,0,negative
10,0,1,0,-1,negative
7,0,0,0,-1,negative
5,0,0,0,-1,negative
10,0,1,0,-1,negative
3,0,1,0,0,negative
8,0,1,0,-1,negative
9,0,0,0,1,negative
10,0,0,0,0,negative
5,0,0,0,1,negative
4,0,0,0,-1,negative
9,0,1,0,1,negative
6,0,0,0,-1,negative
5,0,0,0,0,negative
4,0,0,0,0,negative
6,0,0,0,0,negative
12,0,0,0,0,negative
5,0,0,0,0,negative
8,0,1,0,-1,negative
15,0,0,0,1,negative
14,0,0,0,2,negative
6,0,1,0,-1,negative
7,0,0,0,0,negative
